Category ID,Category name,question Body
seed01,Daily Questions,How was your day?
seed01,Daily Questions,What did you do this weekend?
seed01,Daily Questions,Describe the weather today
seed01,Daily Questions,Do you have any stuff that you have to do this week?
seed01,Daily Questions,Have you been sightseeing in a foreign country?
seed01,Daily Questions,Who is your favorite actor?
seed01,Daily Questions,What is your favorite TV show?
seed02,Personal,What is your favorite food?
seed02,Personal,How often do you eat out?
seed02,Personal,"When you were a kid, what did you want to be?"
seed02,Personal,What are you most afraid of?
seed02,Personal,Where is your hometown? What is your hometown like?
seed02,Personal,What is your hometown famous for?
seed02,Personal,How many brothers and sisters do you have?
seed02,Personal,What do you do?
seed02,Personal,What was the most memorable place you've visited?
seed02,Personal,Do you have any pets?
seed02,Personal,Do you know what your name mearns?
seed02,Personal,What is your biggest regret?
seed02,Personal,What is your most embarrasing moment?
seed02,Personal,What is the craziest thing you've ever done?
seed02,Personal,Do you prefer cats or dogs?
seed02,Personal,Would you prefer to live in the city or a rural area?
seed02,Personal,What is your favorite season?
seed02,Personal,Have you ever cried because you were so happy?
seed02,Personal,Do you like meeting new people?
seed03,Ice Breakers,"If you could travel anywhere, where would you go and why?"
seed03,Ice Breakers,"If you won the lottery, what would you do?"
seed03,Ice Breakers,How do you spend your free time?
seed03,Ice Breakers,"If you could have any super power, what would it be?"
seed03,Ice Breakers,What would you do if you only had 24 hours left to live?
seed03,Ice Breakers,"If you woke up tomorrow as an animal, what animal would you choose to be and why?"
seed03,Ice Breakers,"If you could choose your age forever, what age would you choose and why?"
seed03,Ice Breakers,"If you were stranded on a desert island, what three items would you want to have with you?"
seed03,Ice Breakers,"What item that you don't have already, would you most like to own?"
seed04,School / Work,What do you like about your job?
seed04,School / Work,What is a skill you'd like to learn and why?
seed04,School / Work,What was (is) your favorite subject?
seed04,School / Work,What is your dream job?
seed04,School / Work,How long do you want to work?
seed04,School / Work,How difficult is it to get a job in your country?
seed05,Entertainment,What kind of music do you listen to?
seed05,Entertainment,What kind of movies do you like watching?
seed05,Entertainment,Do you like sightseeing?
seed06,Sports / Health,What do you do to keep yourself healthy?
seed06,Sports / Health,Do you usually take medicine when you feel sick?
seed06,Sports / Health,What is your favorite sports team?
seed06,Sports / Health,How often do you exercise?
seed06,Sports / Health,Is there anything you avoid in order to stay healthy?
seed06,Sports / Health,Do you consider yourself to be healthy? Why?
seed06,Sports / Health,What sports are most popular in your country?
seed07,Relationship,How would you describe your ideal partner?
seed07,Relationship,Do you believe in love at first sight?
seed07,Relationship,Do you prefer short hair or long hair on a guy/girl?
seed07,Relationship,Would you rather be rich and never find true love or be poor and find true love?
seed07,Relationship,"When you see a couple, how do you know they are in love?"
seed07,Relationship,What do you think of valentine’s day?
seed07,Relationship,What makes a happy marriage?
seed07,Relationship,Describe your perfect partner.
seed07,Relationship,What do you want your wedding to be like?
seed07,Relationship,Describe your ideal date.
seed07,Relationship,What was the worst/best date that you have ever been on?
seed08,Job Interview,How are you doing this morning?
seed08,Job Interview,Tell me a little bit about yourself
seed08,Job Interview,How would you describe your personality?
seed08,Job Interview,Have you finished your studies?
seed08,Job Interview,Can you tell me about your educational background?
seed08,Job Interview,Why did you choose <*your major>
seed08,Job Interview,Can you tell me about your previous job experience?
seed08,Job Interview,What are you passionate about?
seed08,Job Interview,What can you contribute to this company? 
seed08,Job Interview,What did you like or dislike about your previous job?
seed08,Job Interview,What is your greatest strength?
seed08,Job Interview,What are your salary requirements?
,,Why are you learning English?
,,How would you describe your current English abilities?
,,
,,
,,
,,
,,
,,
,,
,,
,,
